,mes,infeccoes,populacao,max,media,min,ind_pluv
0,1,0,92453,28,22,19,218.8
1,2,1,92453,28,23,19,198.2
2,3,3,92453,27,22,18,150.5
3,4,7,92453,25,21,17,89.1
4,5,3,92453,23,18,14,65.6
5,6,4,92453,22,16,13,53.8
6,7,0,92453,22,16,12,42.8
7,8,0,92453,24,17,12,42.2
8,9,0,92453,24,18,14,103.4
9,10,0,92453,25,20,16,106.3
10,11,0,92453,26,21,17,129.1
11,12,1,92453,27,22,18,184.0
12,1,1,316473,28,23,20,215.1
13,2,6,316473,28,24,20,192.2
14,3,4,316473,27,23,20,141.9
15,4,25,316473,26,21,18,81.4
16,5,19,316473,23,19,15,64.2
17,6,3,316473,22,17,14,56.5
18,7,0,316473,22,17,13,43.3
19,8,2,316473,24,18,14,40.1
20,9,0,316473,25,19,15,93.2
21,10,2,316473,26,21,17,102.3
22,11,1,316473,27,22,18,124.8
23,12,0,316473,27,23,19,179.0
24,1,0,29683,27,22,19,215.6
25,2,0,29683,27,23,19,200.0
26,3,2,29683,26,22,19,156.5
27,4,1,29683,25,20,17,98.8
28,5,2,29683,22,18,15,69.0
29,6,2,29683,22,16,13,57.2
30,7,0,29683,21,16,12,48.0
31,8,0,29683,22,17,13,44.2
32,9,0,29683,23,18,14,95.5
33,10,0,29683,24,19,16,104.2
34,11,0,29683,25,20,17,126.8
35,12,0,29683,26,22,18,176.9
36,1,0,95032,28,23,20,215.0
37,2,0,95032,28,24,20,189.9
38,3,5,95032,27,23,19,140.0
39,4,22,95032,26,21,18,79.2
40,5,31,95032,23,18,15,62.2
41,6,15,95032,22,17,13,52.7
42,7,2,95032,22,17,13,39.9
43,8,0,95032,24,18,13,40.0
44,9,0,95032,25,19,15,100.8
45,10,0,95032,26,21,17,103.9
46,11,0,95032,26,22,18,126.6
47,12,0,95032,27,23,19,182.1
48,1,2,92689,28,23,20,214.2
49,2,7,92689,28,23,20,187.8
50,3,3,92689,27,23,19,137.1
51,4,21,92689,26,21,17,76.6
52,5,29,92689,23,18,15,61.4
53,6,5,92689,22,17,13,52.7
54,7,1,92689,22,17,12,39.5
55,8,0,92689,24,18,13,39.5
56,9,0,92689,25,19,15,100.1
57,10,1,92689,26,21,17,103.3
58,11,0,92689,26,21,18,126.1
59,12,0,92689,27,22,19,181.9
60,1,0,386984,28,23,20,215.4
61,2,5,386984,28,24,20,193.2
62,3,3,386984,27,23,20,143.2
63,4,15,386984,26,21,18,82.8
64,5,12,386984,23,19,15,64.7
65,6,3,386984,22,17,14,56.8
66,7,2,386984,22,17,13,43.7
67,8,2,386984,24,18,14,40.3
68,9,1,386984,24,19,15,93.6
69,10,4,386984,26,20,17,102.4
70,11,2,386984,26,22,18,124.9
71,12,0,386984,27,23,19,178.9
72,1,0,274413,27,23,20,214.8
73,2,4,274413,28,23,20,194.2
74,3,3,274413,27,22,19,144.1
75,4,14,274413,25,21,17,84.8
76,5,9,274413,23,18,15,65.9
77,6,1,274413,22,17,13,58.7
78,7,0,274413,22,17,13,45.5
79,8,0,274413,23,18,13,40.7
80,9,1,274413,24,18,15,91.4
81,10,0,274413,25,20,16,101.7
82,11,0,274413,26,21,17,123.1
83,12,0,274413,27,22,19,176.4
84,1,4,393237,27,23,20,217.6
85,2,1,393237,28,23,20,202.0
86,3,21,393237,27,22,20,154.6
87,4,95,393237,25,21,18,95.3
